Test-ID|Average|Prototype|5.0%|95.0%|E
91|3.64e-04|3.64e-04|7.57e-05|1.64e-03|0.0001
92|1.43e-04|1.43e-04|3.12e-05|6.81e-04|0.0001
93|2.94e-03|2.94e-03|8.39e-04|1.13e-02|0.0002
94|1.48e-03|1.48e-03|3.78e-04|5.42e-03|0.0001
95|5.67e-04|5.67e-04|1.25e-04|2.33e-03|0.0001
96|2.11e-04|2.11e-04|4.60e-05|1.01e-03|0.0001
97|3.87e-03|3.87e-03|1.09e-03|1.46e-02|0.0003
98|1.86e-03|1.86e-03|5.42e-04|6.66e-03|0.0001
99|7.97e-04|7.97e-04|2.04e-04|3.05e-03|0.0001
100|2.94e-04|2.94e-04|6.79e-05|1.30e-03|0.0001
101|4.26e-03|4.26e-03|1.37e-03|1.46e-02|0.0059
102|2.35e-03|2.35e-03|7.29e-04|8.03e-03|0.0001
103|1.17e-03|1.17e-03|3.33e-04|4.35e-03|0.0001
104|4.57e-04|4.57e-04|1.09e-04|1.88e-03|0.0001
105|2.38e-03|2.38e-03|3.47e-04|1.42e-02|0.0181
106|9.05e-04|9.05e-04|1.29e-04|5.62e-03|0.0008
107|2.97e-04|2.97e-04|3.55e-05|2.16e-03|0.0006
108|1.00e-04|1.00e-04|1.21e-05|8.77e-04|0.0004
109|2.77e-03|2.77e-03|5.49e-04|1.29e-02|0.0087
110|1.18e-03|1.18e-03|2.89e-04|4.75e-03|0.0003
111|6.33e-04|6.33e-04|1.06e-04|3.20e-03|0.0004
112|1.63e-04|1.63e-04|3.15e-05|8.63e-04|0.0002
113|5.50e-05|5.50e-05|8.35e-06|3.80e-04|0.0003
114|2.25e-03|2.25e-03|6.52e-04|7.84e-03|0.0002
115|7.73e-04|7.73e-04|1.93e-04|2.90e-03|0.0002
116|2.53e-04|2.53e-04|6.24e-05|1.03e-03|0.0001
117|6.71e-05|6.71e-05|1.48e-05|3.41e-04|0.0001
118|3.10e-05|3.10e-05|6.53e-06|1.55e-04|0.0001
119|8.23e-04|8.23e-04|2.18e-04|2.80e-03|0.0001
120|3.51e-04|3.51e-04|8.86e-05|1.41e-03|0.0001
121|1.18e-04|1.18e-04|2.92e-05|5.29e-04|0.0001
122|4.60e-05|4.60e-05|9.86e-06|2.27e-04|0.0001
123|1.25e-03|1.25e-03|3.65e-04|4.15e-03|0.0001
124|5.07e-04|5.07e-04|1.35e-04|1.97e-03|0.0001
125|1.89e-04|1.89e-04|4.88e-05|7.73e-04|0.0001
126|6.79e-05|6.79e-05|1.55e-05|2.92e-04|0.0001
127|1.55e-03|1.55e-03|5.12e-04|4.97e-03|0.0001
128|7.47e-04|7.47e-04|2.16e-04|2.63e-03|0.0001
129|3.33e-04|3.33e-04|8.55e-05|1.31e-03|0.0001
130|1.18e-04|1.18e-04|2.85e-05|4.77e-04|0.0001

